fiscal_year,department_id,department_name,department_friendly_name,department_acronym,sort_order,prime_sb_dollars,prime_sdb_dollars,prime_wosb_dollars,prime_sdvosb_dollars,prime_hz_dollars,prime_sb_pfy4_achievement,prime_sb_pfy3_achievement,prime_sb_pfy2_achievement,prime_sb_pfy_achievement,prime_sb_cfy_achievement,prime_sb_cfy_goal,prime_sb_category_weight,prime_sb_category_achievement,prime_wosb_pfy4_achievement,prime_wosb_pfy3_achievement,prime_wosb_pfy2_achievement,prime_wosb_pfy_achievement,prime_wosb_cfy_achievement,prime_wosb_cfy_goal,prime_wosb_category_weight,prime_wosb_category_achievement,prime_sdb_pfy4_achievement,prime_sdb_pfy3_achievement,prime_sdb_pfy2_achievement,prime_sdb_pfy_achievement,prime_sdb_cfy_achievement,prime_sdb_cfy_goal,prime_sdb_category_weight,prime_sdb_category_achievement,prime_sdvosb_pfy4_achievement,prime_sdvosb_pfy3_achievement,prime_sdvosb_pfy2_achievement,prime_sdvosb_pfy_achievement,prime_sdvosb_cfy_achievement,prime_sdvosb_cfy_goal,prime_sdvosb_category_weight,prime_sdvosb_category_achievement,prime_hz_pfy4_achievement,prime_hz_pfy3_achievement,prime_hz_pfy2_achievement,prime_hz_pfy_achievement,prime_hz_cfy_achievement,prime_hz_cfy_goal,prime_hz_category_weight,prime_hz_category_achievement,prime_total_score,prime_footnotes,sub_sb_dollars,sub_wosb_dollars,sub_sdb_dollars,sub_sdvosb_dollars,sub_hz_dollars,sub_sb_pfy4_achievement,sub_sb_pfy3_achievement,sub_sb_pfy2_achievement,sub_sb_pfy_achievement,sub_sb_cfy_achievement,sub_sb_cfy_goal,sub_sb_category_weight,sub_sb_category_achievement,sub_wosb_pfy4_achievement,sub_wosb_pfy3_achievement,sub_wosb_pfy2_achievement,sub_wosb_pfy_achievement,sub_wosb_cfy_achievement,sub_wosb_cfy_goal,sub_wosb_category_weight,sub_wosb_category_achievement,sub_sdb_pfy4_achievement,sub_sdb_pfy3_achievement,sub_sdb_pfy2_achievement,sub_sdb_pfy_achievement,sub_sdb_cfy_achievement,sub_sdb_cfy_goal,sub_sdb_category_weight,sub_sdb_category_achievement,sub_sdvosb_pfy4_achievement,sub_sdvosb_pfy3_achievement,sub_sdvosb_pfy2_achievement,sub_sdvosb_pfy_achievement,sub_sdvosb_cfy_achievement,sub_sdvosb_cfy_goal,sub_sdvosb_category_weight,sub_sdvosb_category_achievement,sub_hz_pfy4_achievement,sub_hz_pfy3_achievement,sub_hz_pfy2_achievement,sub_hz_pfy_achievement,sub_hz_cfy_achievement,sub_hz_cfy_goal,sub_hz_category_weight,sub_hz_category_achievement,sub_total_score,sub_footnotes,peer_review_k0,peer_review_k1,peer_review_k2,peer_review_k3,peer_review_k4,peer_review_k5,peer_review_k6,peer_review_k7,peer_review_k8,peer_review_k9,peer_review_k10,peer_review_k11,peer_review_k12,peer_review_k13,peer_review_k14,peer_review_k15,peer_review_k16,peer_review_k17,peer_review_k18,peer_review_k19,peer_review_k20,peer_review_k21,peer_review_average_total,peer_review_score,peer_review_total_score,category_sb_vendor_score,category_sdb_vendor_score,category_sdvosb_vendor_score,category_wosb_vendor_score,category_hz_vendor_score,industry_category_total_score,industry_category_score,industry_total_score,category_sb_pfy_vendor_count,category_sb_cfy_vendor_count,category_sb_percent_change,category_sdb_pfy_vendor_count,category_sdb_cfy_vendor_count,category_sdb_percent_change,category_sdvosb_pfy_vendor_count,category_sdvosb_cfy_vendor_count,category_sdvosb_percent_change,category_wosb_pfy_vendor_count,category_wosb_cfy_vendor_count,category_wosb_percent_change,category_hz_pfy_vendor_count,category_hz_cfy_vendor_count,category_hz_percent_change,agency_score,agency_grade,comments
2021,1200,"AGRICULTURE, DEPARTMENT OF (1200)",Department of Agriculture,USDA,8,$5.0  B,$2.1  B,$858.6 M,$320.7 M,$602.0 M,57.95%,63.12%,57.96%,47.89%,52.97%,49.50%,60.00%,64.21%,9.54%,10.43%,10.36%,10.02%,9.05%,5.00%,10.00%,18.10%,15.65%,17.41%,21.62%,19.67%,21.81%,5.00%,10.00%,20.00%,3.22%,3.58%,3.58%,2.41%,3.38%,3.00%,10.00%,11.27%,4.04%,5.68%,7.13%,7.32%,6.35%,3.00%,10.00%,20.00%,66.79%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$195.8 M,$11.6 M,$9.6 M,$1.7 M,$1.1 M,20.50%,29.30%,21.90%,27.10%,31.30%,20.00%,60.00%,93.90%,1.40%,3.20%,2.70%,4.60%,1.90%,5.00%,10.00%,3.80%,1.20%,2.80%,2.20%,2.40%,1.50%,5.00%,10.00%,3.00%,0.10%,0.10%,0.10%,0.20%,0.30%,3.00%,10.00%,1.00%,0.20%,0.30%,0.30%,0.60%,0.20%,3.00%,10.00%,0.67%,20.47%,Capped at 200%.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,22,20.00%,0.8,0.9,1.1,0.8,0.9,4.5,90.00%,9.00%,"7,942","7,265",-8.52%,"2,844","2,746",-3.45%,413,420,1.69%,"1,685","1,543",-8.40%,467,450,-3.60%,116.26%,A,The U.S. Department of Agriculture (USDA) accepts the overall scorecard grade. We will continue to explore alternatives and strive to exceed our subcontracting goals in all categories. USDA is committed in training  the acquisition workforce as it pertains to small business utilization. 
2021,1300,"COMMERCE, DEPARTMENT OF (1300)",Department of Commerce,DOC,12,$2.2  B,$1.0  B,$547.4 M,$298.2 M,$421.8 M,42.23%,45.82%,42.73%,43.71%,46.21%,33.00%,60.00%,84.02%,11.81%,12.78%,11.91%,12.02%,11.49%,5.00%,10.00%,20.00%,16.82%,18.41%,16.41%,17.31%,21.33%,5.00%,10.00%,20.00%,4.54%,4.11%,3.92%,4.10%,6.26%,3.00%,10.00%,20.00%,5.82%,9.16%,11.84%,13.05%,8.85%,3.00%,10.00%,20.00%,82.01%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$291.1 M,$59.8 M,$80.5 M,$27.9 M,$13.7 M,58.30%,54.20%,57.20%,47.90%,29.00%,30.00%,60.00%,58.00%,9.70%,10.30%,15.20%,12.10%,6.00%,5.00%,10.00%,12.00%,8.90%,11.60%,16.40%,15.00%,8.00%,5.00%,10.00%,16.00%,3.60%,1.70%,2.20%,2.00%,2.80%,3.00%,10.00%,9.33%,3.00%,2.00%,3.80%,3.50%,1.40%,3.00%,10.00%,4.67%,20.00%,Capped at 200%.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,22,20.00%,0.8,0.9,1.3,0.7,1.3,5,100.00%,10.00%,"3,002","2,818",-6.13%,"1,079","1,055",-2.22%,228,255,11.84%,624,560,-10.30%,157,175,11.50%,132.01%,A+,"The U.S. Department of Commerce (DOC) is honored to receive an “A+” on our FY 2021 Small Business Procurement Scorecard. We are appreciative to the U.S. Small Business Administration for the public recognition and their partnership in our efforts to effectively use Federal acquisitions to support small businesses and concurrently advance equity and inclusion. We understand and support the important role of small businesses to our economy and job creation. Therefore, it is with great pride that we celebrate our commitment and hard work to remove barriers that block small and socioeconomic businesses from participating in our contract solicitations. In FY 2022 we will double our efforts to strengthen our Small Business Program and identify new contract opportunities to help small and socioeconomic businesses grow and succeed."
2021,1400,"INTERIOR, DEPARTMENT OF THE (1400)",Department of the Interior,DOI,10,$2.5  B,$1.4  B,$574.0 M,$242.1 M,$351.6 M,56.83%,58.01%,57.06%,60.11%,61.02%,50.00%,60.00%,73.22%,13.87%,13.06%,13.62%,14.01%,14.11%,5.00%,10.00%,20.00%,25.01%,27.61%,29.51%,31.93%,33.84%,5.00%,10.00%,20.00%,4.52%,4.76%,4.36%,5.63%,5.95%,3.00%,10.00%,19.83%,5.08%,5.29%,6.04%,7.33%,8.64%,3.00%,10.00%,20.00%,76.53%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$158.4 M,$24.1 M,$34.3 M,$15.8 M,$13.6 M,55.00%,58.20%,41.60%,47.00%,48.30%,43.25%,60.00%,67.01%,13.50%,11.60%,6.20%,6.30%,7.40%,5.00%,10.00%,14.80%,18.80%,19.70%,6.50%,9.70%,10.40%,5.00%,10.00%,20.00%,4.80%,4.30%,2.60%,2.80%,4.80%,3.00%,10.00%,16.00%,1.10%,1.00%,0.90%,0.90%,4.10%,3.00%,10.00%,13.67%,26.30%,Capped at 200%.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,22,20.00%,0.9,1.1,1.2,0.9,1.1,5.2,104.00%,10.40%,"7,005","6,873",-1.88%,"2,708","2,777",2.55%,384,422,9.90%,"1,579","1,546",-2.10%,375,380,1.30%,133.22%,A+,"The Department of the Interior (DOI) is honored to receive an A+ for our small business accomplishments in FY 2021 and celebrates having received an “A” or “A+” on our small business scorecard for the last twelve consecutive years. At DOI, we are committed to maximizing opportunities for small businesses whenever we purchase products and services. Small businesses provided over $2.5 billion in products and services to support the DOI’s programs during FY 2021, representing over 61% of contract obligations. In FY 2021, DOI exceeded all of our prime and subcontracting goals for each socio-economic program.  The Department's FY 2021 small business spending included 33.84% to Small Disadvantaged Businesses, an increase from FY 2020. DOI will continue to build on our strong track record and enhance our program to ensure continued opportunities for all types of small and disadvantaged businesses.  "
2021,1500,"JUSTICE, DEPARTMENT OF (1500)",Department of Justice,DOJ,9,$3.0  B,$1.4  B,$586.6 M,$638.6 M,$182.4 M,29.82%,34.05%,31.38%,32.71%,32.68%,31.25%,60.00%,62.75%,6.63%,6.64%,6.35%,5.94%,6.47%,5.00%,10.00%,12.94%,10.57%,14.55%,13.24%,14.76%,15.75%,5.00%,10.00%,20.00%,5.10%,5.08%,5.17%,6.15%,7.05%,3.00%,10.00%,20.00%,1.09%,2.28%,1.70%,2.19%,2.01%,3.00%,10.00%,6.70%,61.20%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$320.0 M,$71.6 M,$59.3 M,$15.3 M,$21.9 M,36.80%,40.00%,41.40%,37.40%,31.60%,39.50%,60.00%,48.00%,9.50%,8.60%,10.40%,7.10%,7.10%,5.00%,10.00%,14.20%,5.20%,7.90%,8.50%,4.60%,5.90%,5.00%,10.00%,11.80%,0.90%,0.90%,1.20%,1.40%,1.50%,3.00%,10.00%,5.00%,1.30%,2.00%,3.00%,2.90%,2.20%,3.00%,10.00%,7.33%,17.27%,Capped at 200%.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,22,20.00%,0.8,0.9,0.9,0.8,1.3,4.7,94.00%,9.40%,"4,702","4,434",-5.70%,"1,533","1,459",-4.83%,304,300,-1.32%,"1,076","1,001",-7.00%,185,220,18.90%,107.87%,A,"The Department of Justice (DOJ) is honored to receive a grade of “A” for FY 2021 in recognition of our work in making contract awards for the nation’s small businesses, including small disadvantaged businesses, woman-owned small businesses, HUBZone small businesses, and service-disabled veteran-owned small businesses.  FY 2021 marks the eighth consecutive year that DOJ has received an “A.”  In FY 2021, DOJ awarded more than $9 billion through its contracts with nearly $3 billion awarded to American small businesses as prime contractors.  DOJ appreciates and recognizes the vital contributions that our small business partners make to our missions to uphold the rule of law, to reduce violent crime, to fight cyber threats, and to combat foreign and domestic terrorism.  The department’s leadership and its employees renew our commitment to provide maximum practicable opportunity for small businesses and to increase equity in our procurement operations."
2021,1600,"LABOR, DEPARTMENT OF (1600)",Department of Labor,DOL,16,$1.0  B,$743.9 M,$334.3 M,$159.9 M,$180.9 M,39.12%,38.94%,40.34%,40.21%,43.44%,37.75%,60.00%,69.04%,14.81%,12.62%,12.62%,12.80%,14.12%,5.00%,10.00%,20.00%,24.06%,25.86%,26.06%,27.07%,31.44%,5.00%,10.00%,20.00%,4.79%,4.52%,6.70%,6.63%,6.76%,3.00%,10.00%,20.00%,3.25%,3.88%,5.14%,5.94%,7.64%,3.00%,10.00%,20.00%,74.52%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$111.0 M,$27.1 M,$31.5 M,$19.1 M,$19.4 M,67.80%,63.60%,66.80%,68.30%,65.70%,60.50%,60.00%,65.16%,17.40%,17.60%,18.80%,18.40%,16.00%,5.00%,10.00%,20.00%,13.80%,13.30%,15.50%,18.40%,18.70%,5.00%,10.00%,20.00%,3.80%,4.80%,6.70%,9.00%,11.30%,3.00%,10.00%,20.00%,6.80%,7.60%,8.20%,10.00%,11.50%,3.00%,10.00%,20.00%,29.03%,Capped at 200%.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,21,21,19.09%,0.7,0.8,0.7,0.9,1.1,4.2,84.00%,8.40%,532,476,-10.53%,262,239,-8.78%,68,51,-25.00%,142,139,-2.10%,56,57,1.80%,131.04%,A+,"The U.S. Department of Labor (DOL) is honored to receive an outstanding grade of A+ on its Fiscal Year (FY) 2021 Small Business Procurement Scorecard, with a sustained successful track record of obtaining a grade of A or A+ thirteen years in a row.  This noteworthy achievement reflects the Department’s continuous commitment and collaborative efforts by senior leadership, the DOL Office of Small and Disadvantaged Business Utilization (OSDBU), the DOL acquisition workforce, and large business partners to provide opportunities to small business to compete for DOL procurements.  As a result, DOL exceeded all prime and subcontracting small business goals for FY 2021.  DOL will continue its commitment to provide small business concerns with opportunities to compete for DOL’s contracts, to the maximum extent practicable."
2021,1900,"STATE, DEPARTMENT OF (1900)",Department of State,STATE,11,$3.8  B,$2.4  B,$413.7 M,$325.1 M,$727.6 M,22.85%,27.58%,31.81%,32.24%,36.19%,23.50%,60.00%,92.40%,4.48%,5.59%,5.31%,5.06%,3.98%,5.00%,10.00%,7.96%,11.93%,14.73%,19.13%,20.32%,23.30%,5.00%,10.00%,20.00%,3.70%,3.88%,4.10%,4.85%,3.13%,3.00%,10.00%,10.43%,2.46%,4.70%,5.65%,6.89%,7.00%,3.00%,10.00%,20.00%,75.40%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$741.7 M,$96.5 M,$74.9 M,$26.0 M,$13.5 M,46.20%,50.40%,55.30%,52.50%,50.80%,38.25%,60.00%,79.69%,8.20%,7.00%,4.40%,6.80%,6.60%,5.00%,10.00%,13.20%,4.30%,4.10%,3.90%,4.90%,5.10%,5.00%,10.00%,10.20%,3.30%,1.00%,2.20%,2.90%,1.80%,3.00%,10.00%,6.00%,1.90%,1.00%,1.00%,1.40%,0.90%,3.00%,10.00%,3.00%,22.42%,Capped at 200%.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,22,20.00%,1.1,1.2,1.1,1.2,0.9,5.5,110.00%,11.00%,"1,369","1,430",4.46%,520,555,6.73%,147,151,2.72%,345,378,9.60%,122,120,-1.60%,128.82%,A+,"The U.S. Department of State is committed to providing U.S. Small Businesses with maximum practical opportunity to win Department contracts and ensuring equity in procurement. We are proud of our record of accomplishment in this area and very grateful to our small business prime contact holders. The Department’s mission is, by definition, globally diverse and requires technical, managerial and financial capabilities that are very often far in excess of those necessary to perform successfully on domestic Federal contracts. The Department’s Office of Small and Disadvantaged Business Utilization, Office of Acquisition Operations and Office of the Senior Procurement Executive will continue to work hand in hand to ensure the continued success of all U.S. Small Businesses seeking to fulfill the contractual requirements of the Department."
2021,2000,"TREASURY, DEPARTMENT OF THE (2000)",Department of the Treasury,Treasury,13,$3.7  B,$737.7 M,$630.4 M,$368.3 M,$209.2 M,35.56%,42.31%,42.71%,46.25%,39.93%,36.00%,60.00%,66.55%,13.08%,12.35%,11.56%,9.06%,6.71%,5.00%,10.00%,13.42%,13.98%,11.54%,11.98%,8.86%,7.86%,5.00%,10.00%,15.72%,3.74%,3.56%,4.28%,3.12%,3.92%,3.00%,10.00%,13.06%,4.78%,3.46%,3.47%,2.41%,2.23%,3.00%,10.00%,7.43%,58.10%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$117.5 M,$20.8 M,$17.8 M,$5.6 M,$3.1 M,32.30%,58.60%,47.80%,23.60%,17.00%,26.00%,60.00%,39.23%,9.50%,15.50%,12.10%,5.50%,3.00%,5.00%,10.00%,6.00%,6.80%,12.80%,9.60%,4.00%,2.60%,5.00%,10.00%,5.20%,1.10%,2.40%,2.20%,0.70%,0.80%,3.00%,10.00%,2.67%,3.70%,6.50%,6.60%,1.90%,0.40%,3.00%,10.00%,1.33%,10.89%,Capped at 200%.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,22,20.00%,1.1,1.1,1.1,0.8,0.9,5,100.00%,10.00%,"1,791","1,796",0.28%,669,674,0.75%,137,140,2.19%,429,403,-6.10%,116,113,-2.60%,98.99%,B,"In FY21, the Department of the Treasury increased the dollars obligated to small businesses in every prime contracting category, spending $700M more than the previous year, which represents a 23% increase in obligations flowing to small businesses. This collective effort across the Department led to our achieving four out of five small business prime goals and obligating over $3.7 billion dollars to small businesses. The B grade on this scorecard affords Treasury the opportunity to improve by continuing our strong commitment to utilizing small businesses that promote Treasury’s key objectives. Through this effort, we hope to increase procurement equity across underserved communities and businesses that fall within the socio-economic categories.  "
2021,2400,OFFICE OF PERSONNEL MANAGEMENT (2400),Office of Personnel Management,OPM,15,$340.0 M,$227.5 M,$191.4 M,$51.7 M,$35.9 M,33.97%,30.93%,30.07%,82.92%,67.35%,30.00%,60.00%,120.00%,15.45%,21.94%,14.96%,46.34%,37.91%,5.00%,10.00%,20.00%,16.05%,9.10%,13.58%,45.31%,45.06%,5.00%,10.00%,20.00%,2.82%,1.16%,2.28%,7.91%,10.24%,3.00%,10.00%,20.00%,3.30%,1.85%,3.12%,8.46%,7.12%,3.00%,10.00%,20.00%,100.00%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$13.9 M,$9.1 M,$7.6 M,347.8 K,$7.3 M,63.90%,37.10%,45.90%,24.10%,24.70%,50.00%,60.00%,29.64%,10.10%,2.60%,12.60%,15.20%,16.20%,5.00%,10.00%,20.00%,18.30%,25.20%,11.50%,11.60%,13.40%,5.00%,10.00%,20.00%,3.60%,0.00%,0.60%,1.40%,0.60%,3.00%,10.00%,2.00%,13.60%,0.00%,14.10%,9.80%,12.90%,3.00%,10.00%,20.00%,18.33%,Capped at 200%.,1,1,0.4,0.8,1,1,1,0.8,1,1,1,0,1,1,1,1,1,1,1,1,1,1,20,20,18.18%,0.7,0.7,1.3,0.7,0.7,4.1,82.00%,8.20%,189,165,-12.70%,90,78,-13.33%,22,27,22.73%,53,39,-26.40%,25,19,-24.00%,144.71%,A+,"The U.S. Office of Personnel Management (OPM) is humbled and deeply honored to receive an outstanding grade of “A+” on its Fiscal Year (FY) 2020 Small Business Procurement Scorecard. For two consecutive years OPM has been privileged to receive this noteworthy achievement. With significant effort, particularly considering the ongoing Pandemic emergency, we have been fortunate to sustain a successful track record of continuous success. This noteworthy achievement reflects the Agency’s ongoing commitment that include collaborative efforts by senior leadership, the OPM Office of Small and Disadvantaged Business Utilization (OSDBU), the OPM acquisition workforce, the SBA and large business partners. Together, we strive for excellence to provide opportunities to small businesses seeking to provide superior products and services to support OPM’s mission which is to “provide human resources leadership and support to Federal agencies and help the Federal workforce achieve their aspirations as they serve the American people.” To that end, OPM once again exceeded all prime small business goals for FY 2021. OPM will continue its commitment to provide small business concerns with the greatest access to procurements opportunities by excelling in advocacy, training, counseling, and support to the maximum extent practicable.
We wholeheartedly appreciate SBA’s support throughout this journey. OSDBU’s painstaking planning and execution over the past 10 years would not have been fully realized without the full backing of the SBA."
2021,2800,SOCIAL SECURITY ADMINISTRATION (2800),Social Security Administration,SSA,20,$497.9 M,$183.1 M,$70.7 M,$72.7 M,$12.4 M,31.32%,32.57%,35.92%,31.85%,26.60%,28.00%,60.00%,57.00%,7.46%,6.29%,9.46%,5.99%,3.78%,5.00%,10.00%,7.56%,10.88%,8.42%,9.41%,7.92%,9.79%,5.00%,10.00%,19.58%,3.37%,4.14%,4.20%,3.61%,3.89%,3.00%,10.00%,12.97%,1.39%,1.03%,0.95%,1.02%,0.66%,3.00%,10.00%,2.20%,49.66%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$134.8 M,$31.7 M,$34.2 M,$13.2 M,$11.6 M,54.40%,57.90%,48.60%,49.90%,50.80%,50.00%,60.00%,60.96%,24.60%,14.80%,11.80%,12.00%,11.90%,5.00%,10.00%,20.00%,11.90%,11.60%,6.80%,11.30%,12.90%,5.00%,10.00%,20.00%,3.60%,2.20%,2.20%,4.10%,5.00%,3.00%,10.00%,16.67%,6.70%,5.00%,4.80%,4.80%,4.40%,3.00%,10.00%,14.67%,26.46%,Capped at 200%.,1,0.8,0.6,0.4,1,1,1,0.2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,19,19,17.27%,0.7,0.7,0.7,0.7,1.1,3.9,78.00%,7.80%,"1,942",764,-60.66%,457,223,-51.20%,84,60,-28.57%,693,225,-67.50%,41,43,4.90%,101.19%,A,"We are very proud to have achieved and exceeded our overall Small Business Goal along with three of the four socio-economic goals, Small Disadvantaged Business (SDB), Women Owned Small Business (WOSB), and Service-Disabled Veteran Owned Small Business. We continue making efforts to meet our HUB Zone goals through various vendor outreach, as well as communicating with acquisition staff to seek out potential HUB Zone vendors as part of market research. We also exceeded all four socio-economic subcontracting goals for FY21. These achievements reflect our continued commitment to advancing the interests of both the prime and subcontracting small business programs."
2021,3100,NUCLEAR REGULATORY COMMISSION (3100),Nuclear Regulatory Commission,NRC,23,$91.0 M,$54.1 M,$25.9 M,$11.7 M,$10.3 M,36.68%,41.00%,57.46%,53.57%,54.51%,40.00%,60.00%,81.77%,9.53%,13.84%,14.97%,12.03%,15.51%,5.00%,10.00%,20.00%,20.09%,27.05%,32.89%,34.83%,32.45%,5.00%,10.00%,20.00%,7.07%,6.20%,9.95%,7.60%,7.00%,3.00%,10.00%,20.00%,2.24%,3.44%,13.31%,7.34%,6.19%,3.00%,10.00%,20.00%,80.89%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$9.5 M,917.8 K,186.8 K,565.8 K,612.5 K,89.40%,32.30%,31.40%,26.30%,72.20%,40.00%,60.00%,108.30%,5.30%,7.70%,5.50%,4.80%,7.00%,5.00%,10.00%,14.00%,10.80%,0.30%,0.40%,0.20%,1.40%,5.00%,10.00%,2.80%,0.00%,0.00%,0.10%,0.10%,4.30%,3.00%,10.00%,14.33%,0.00%,0.00%,0.10%,0.00%,4.70%,3.00%,10.00%,15.67%,31.02%,Capped at 200%.,0.2,0.8,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,19,19,17.27%,0.9,0.8,0.8,0.7,0.7,3.9,78.00%,7.80%,189,184,-2.65%,89,84,-5.62%,28,26,-7.14%,56,47,-16.10%,28,23,-17.90%,136.98%,A+,"The U.S. Nuclear Regulatory Commission (NRC) supports its mission and operations through Federal acquisitions with small businesses and is committed to achieving its small business goals. The agency’s Small Business Program has implemented an active compliance, technical assistance, and outreach program designed to maximize prime and subcontract opportunities for small businesses. The NRC Small Business Program continued to enhance and refine the comprehensive support it provides to agency buyers as well as increase its engagement between acquisition staff, regional buyers, and the small business marketplace. 

As a result, the agency exceeded all five of its small business prime contract goals. This accomplishment included the NRC more than quadrupling its small disadvantaged business goal and more than doubling the goal for women, service-disabled veterans, and companies located in historically underutilized business zones. The interdependency and collaboration among the Small Business Program, agency acquisition staff, and program offices on acquisition planning and market research activities was critical to NRC’s achievements.  Moving forward, the Small Business Program plans to enhance performance where possible through leveraging innovative technologies that foster collaboration, continuing the virtual series of small business events designed to educate the business community on how to conduct business with the agency, implementing strategic corrective actions to improve subcontracting performance, and removing barriers associated with participating in the agency’s acquisition program."
