fiscal_year,department_id,department_friendly_name,department_name,department_acronym,sort_order,prime_sb_dollars,prime_sdb_dollars,prime_wosb_dollars,prime_sdvosb_dollars,prime_hz_dollars,prime_sb_pfy4_achievement,prime_sb_pfy3_achievement,prime_sb_pfy2_achievement,prime_sb_pfy_achievement,prime_sb_cfy_achievement,prime_sb_cfy_goal,prime_sb_category_weight,prime_sb_category_achievement,prime_sdb_pfy4_achievement,prime_sdb_pfy3_achievement,prime_sdb_pfy2_achievement,prime_sdb_pfy_achievement,prime_sdb_cfy_achievement,prime_sdb_cfy_goal,prime_sdb_category_weight,prime_sdb_category_achievement,prime_wosb_pfy4_achievement,prime_wosb_pfy3_achievement,prime_wosb_pfy2_achievement,prime_wosb_pfy_achievement,prime_wosb_cfy_achievement,prime_wosb_cfy_goal,prime_wosb_category_weight,prime_wosb_category_achievement,prime_sdvosb_pfy4_achievement,prime_sdvosb_pfy3_achievement,prime_sdvosb_pfy2_achievement,prime_sdvosb_pfy_achievement,prime_sdvosb_cfy_achievement,prime_sdvosb_cfy_goal,prime_sdvosb_category_weight,prime_sdvosb_category_achievement,prime_hz_pfy4_achievement,prime_hz_pfy3_achievement,prime_hz_pfy2_achievement,prime_hz_pfy_achievement,prime_hz_cfy_achievement,prime_hz_cfy_goal,prime_hz_category_weight,prime_hz_category_achievement,prime_total_score,prime_footnotes,sub_sb_dollars,sub_wosb_dollars,sub_sdb_dollars,sub_sdvosb_dollars,sub_hz_dollars,sub_sb_pfy4_achievement,sub_sb_pfy3_achievement,sub_sb_pfy2_achievement,sub_sb_pfy_achievement,sub_sb_cfy_achievement,sub_sb_cfy_goal,sub_sb_category_weight,sub_sb_category_achievement,sub_sdb_pfy4_achievement,sub_sdb_pfy3_achievement,sub_sdb_pfy2_achievement,sub_sdb_pfy_achievement,sub_sdb_cfy_achievement,sub_sdb_cfy_goal,sub_sdb_category_weight,sub_sdb_category_achievement,sub_wosb_pfy4_achievement,sub_wosb_pfy3_achievement,sub_wosb_pfy2_achievement,sub_wosb_pfy_achievement,sub_wosb_cfy_achievement,sub_wosb_cfy_goal,sub_wosb_category_weight,sub_wosb_category_achievement,sub_sdvosb_pfy4_achievement,sub_sdvosb_pfy3_achievement,sub_sdvosb_pfy2_achievement,sub_sdvosb_pfy_achievement,sub_sdvosb_cfy_achievement,sub_sdvosb_cfy_goal,sub_sdvosb_category_weight,sub_sdvosb_category_achievement,sub_hz_pfy4_achievement,sub_hz_pfy3_achievement,sub_hz_pfy2_achievement,sub_hz_pfy_achievement,sub_hz_cfy_achievement,sub_hz_cfy_goal,sub_hz_category_weight,sub_hz_category_achievement,sub_total_score,sub_footnotes,peer_review_k0,peer_review_k1,peer_review_k2,peer_review_k3,peer_review_k4,peer_review_k5,peer_review_k6,peer_review_k7,peer_review_k8,peer_review_k9,peer_review_k10,peer_review_k11,peer_review_k12,peer_review_k13,peer_review_k14,peer_review_k15,peer_review_k16,peer_review_k17,peer_review_k18,peer_review_k19,peer_review_k20,peer_review_k21,peer_review_average_total,peer_review_score,peer_review_total_score,category_sb_vendor_score,category_sdb_vendor_score,category_wosb_vendor_score,category_sdvosb_vendor_score,category_hz_vendor_score,industry_category_total_score,industry_category_score,industry_total_score,category_sb_pfy_vendor_count,category_sb_cfy_vendor_count,category_sb_percent_change,category_sdb_pfy_vendor_count,category_sdb_cfy_vendor_count,category_sdb_percent_change,category_sdvosb_pfy_vendor_count,category_sdvosb_cfy_vendor_count,category_sdvosb_percent_change,category_wosb_pfy_vendor_count,category_wosb_cfy_vendor_count,category_wosb_percent_change,category_hz_pfy_vendor_count,category_hz_cfy_vendor_count,category_hz_percent_change,agency_score,agency_grade,comments
2023,9700,Department of Defense,DEPT OF DEFENSE (9700),DOD,1,$92.2 B,$36.1 B,$14.1 B,$11.4 B,$8.7 B,24.16%,24.50%,25.12%,24.86%,25.23%,22.43%,60.00%,67.48%,8.56%,9.26%,9.11%,10.19%,9.89%,10.57%,10.00%,9.36%,4.25%,4.05%,3.80%,3.91%,3.86%,5.0%,10.00%,7.72%,3.25%,3.22%,3.03%,3.09%,3.12%,3.0%,10.00%,10.41%,1.88%,2.20%,2.13%,2.29%,2.37%,3.0%,10.00%,7.9%,51.43%,"1) In FY23, DOD awarded $60.5 B in SBA set-asides to small business concerns. 2) Capped at 200%. 3) Includes double-credit for local-area set-aside. 4) Includes $529k in GSA CPP small-business spending.",$59.8 B,$9.1 B,$7.3 B,$4.1 B,$3.3 B,38.60%,33.40%,33.90%,33.30%,36.86%,30.0%,60.00%,73.72%,4.00%,4.10%,4.20%,4.00%,4.49%,5.0%,10.00%,8.97%,5.20%,5.40%,5.30%,4.90%,5.6%,5.0%,10.00%,11.2%,2.10%,2.20%,2.40%,2.20%,2.55%,3.0%,10.00%,8.51%,1.60%,1.70%,1.80%,1.70%,2.02%,3.0%,10.00%,6.75%,21.83%,1) Capped at 200%.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,22.0,20.0%,0.9,1.1,0.9,1.1,0.9,4.9,98.0%,9.8%,"29,991","29,682",-1.03%,"11,003","11,441",3.98%,"2,983","3,057",2.48%,"6,165","6,109",-0.91%,"1,718","1,647",-4.13%,103.06%,A, 
2023,8900,Department of Energy,"ENERGY, DEPARTMENT OF (8900)",DOE,2,$10.4 B,$3.3 B,$2.0 B,$1.1 B,$738.2 M,5.71%,14.41%,21.19%,21.26%,23.96%,17.0%,60.00%,84.57%,2.86%,4.77%,6.58%,5.69%,7.61%,7.0%,10.00%,10.88%,1.11%,3.04%,4.19%,4.31%,4.6%,5.0%,10.00%,9.19%,0.83%,1.21%,1.69%,1.99%,2.42%,3.0%,10.00%,8.07%,0.19%,0.86%,1.57%,1.71%,1.7%,3.0%,10.00%,5.66%,59.18%,"1) In FY23, DOE awarded $1.5 B in SBA set-asides to small business concerns. 2) Capped at 200%. 3) Includes double credit for local-area set-aside. 4) DOE M&O first-tier subcontracts counted as prime contracts. 5) Includes $77k in GSA CPP small-business spending.",$1.9 B,$461.6 M,$505.4 M,$166.6 M,$203.7 M,55.30%,52.25%,51.77%,49.70%,50.2%,49.0%,60.00%,61.46%,11.60%,9.13%,10.39%,14.11%,13.06%,5.0%,10.00%,20.0%,11.90%,10.99%,10.30%,8.96%,11.93%,5.0%,10.00%,20.0%,4.30%,3.49%,3.68%,2.38%,4.3%,3.0%,10.00%,14.35%,3.80%,3.87%,4.42%,4.33%,5.27%,3.0%,10.00%,17.55%,26.67%,1) Capped at 200%; 2) DOE M&O first-tier subcontracts counted as prime contracts.,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,19.0,17.27%,1.0,1.1,1.1,1.1,1.1,5.4,108.0%,10.8%,863,863,0.0%,378,400,5.82%,80,90,12.5%,198,199,0.51%,63,64,1.59%,113.93%,A, 
2023,7500,Department of Health and Human Services,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",HHS,3,$10.3 B,$5.6 B,$2.8 B,$914.0 M,$873.1 M,25.26%,23.08%,23.44%,22.36%,24.83%,22.0%,60.00%,67.71%,14.26%,10.88%,13.69%,10.99%,13.53%,13.08%,10.00%,10.34%,7.24%,5.02%,5.82%,4.75%,6.68%,5.0%,10.00%,13.35%,2.76%,1.70%,1.96%,1.96%,2.2%,3.0%,10.00%,7.32%,1.49%,1.31%,1.54%,1.71%,2.1%,3.0%,10.00%,6.99%,52.86%,"1) In FY23, HHS awarded $5.2 B in SBA set-asides to small business concerns. 2) Capped at 200%. 3) Includes double-credit for local-area set-aside. 4) Includes $263k in GSA CPP small-business spending.",$1.7 B,$381.2 M,$348.2 M,$95.9 M,$123.4 M,35.80%,27.70%,17.20%,19.80%,23.98%,32.0%,60.00%,44.96%,6.70%,5.90%,2.30%,5.30%,5.0%,5.0%,10.00%,10.01%,8.20%,6.80%,3.60%,5.30%,5.48%,5.0%,10.00%,10.96%,2.00%,1.50%,0.70%,1.00%,1.38%,3.0%,10.00%,4.59%,1.90%,1.60%,0.60%,1.10%,1.77%,3.0%,10.00%,5.91%,15.29%,1) Capped at 200%.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,22.0,20.0%,0.9,1.1,0.9,1.1,0.9,4.9,98.0%,9.8%,"4,506","4,339",-3.71%,"1,909","1,931",1.15%,345,358,3.77%,"1,076","1,048",-2.6%,296,288,-2.7%,97.95%,B, 
2023,3600,Department of Veterans Affairs,"VETERANS AFFAIRS, DEPARTMENT OF (3600)",VA,4,$12.8 B,$4.9 B,$992.8 M,$10.4 B,$1.2 B,32.23%,26.58%,30.38%,20.29%,33.27%,27.0%,60.00%,73.93%,10.00%,9.32%,11.20%,8.39%,12.85%,11.1%,10.00%,11.58%,3.16%,2.44%,2.31%,1.85%,2.58%,5.0%,10.00%,5.17%,23.39%,20.24%,23.76%,16.45%,27.16%,3.0%,10.00%,20.0%,2.93%,1.98%,2.25%,1.92%,3.05%,3.0%,10.00%,10.17%,60.42%,"1) In FY23, VA awarded $9.5 B in SBA set-asides to small business concerns. 2) Capped at 200%. 3) Includes double-credit for local-area set-aside. 4) Includes $1.9mil in GSA CPP small-business spending.",$3.3 B,$553.5 M,$543.8 M,$467.4 M,$185.4 M,13.40%,20.60%,13.20%,11.00%,10.33%,17.0%,60.00%,36.46%,1.10%,1.30%,2.00%,2.00%,1.7%,5.0%,10.00%,3.4%,2.20%,3.70%,1.80%,1.60%,1.73%,5.0%,10.00%,3.46%,0.40%,0.30%,0.40%,0.20%,1.46%,3.0%,10.00%,4.87%,0.10%,0.50%,0.40%,0.30%,0.58%,3.0%,10.00%,1.93%,10.03%,1) Capped at 200%.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,22.0,20.0%,1.1,1.1,0.9,1.1,0.9,5.1,102.0%,10.2%,"8,322","8,393",0.85%,"3,066","3,245",5.84%,"2,124","2,235",5.23%,"1,248","1,208",-3.21%,282,269,-4.61%,100.65%,A, 
2023,8000,National Aeronautics and Space Administration,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (8000),NASA,5,$3.6 B,$1.6 B,$823.2 M,$483.7 M,$200.5 M,17.68%,17.55%,18.18%,18.42%,17.63%,16.87%,60.00%,62.72%,7.91%,7.58%,8.04%,8.06%,7.77%,8.9%,10.00%,8.73%,4.80%,4.29%,4.13%,4.35%,3.98%,5.0%,10.00%,7.96%,1.35%,1.65%,1.59%,1.46%,2.34%,3.0%,10.00%,7.8%,0.83%,0.65%,0.82%,1.02%,0.97%,3.0%,10.00%,3.23%,45.22%,"1) In FY23, NASA awarded $3.0 B in SBA set-asides to small business concerns. 2) Capped at 200%. 3) Includes double-credit for local-area set-aside. 4) Includes $15k in GSA CPP small-business spending.",$4.0 B,$980.3 M,$787.7 M,$456.4 M,$307.6 M,42.30%,39.30%,39.40%,39.10%,44.09%,34.0%,60.00%,77.81%,9.40%,9.30%,8.60%,8.50%,8.66%,5.0%,10.00%,17.33%,11.10%,9.00%,9.00%,9.30%,10.78%,5.0%,10.00%,20.0%,3.90%,3.00%,3.10%,3.00%,5.02%,3.0%,10.00%,16.73%,3.70%,3.10%,2.70%,3.40%,3.38%,3.0%,10.00%,11.28%,28.63%,1) Capped at 200%.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,22.0,20.0%,1.1,1.1,1.1,1.0,0.8,5.1,102.0%,10.2%,"1,727","1,764",2.14%,510,546,7.06%,104,104,0.0%,293,302,3.07%,88,83,-5.68%,104.05%,A, 
2023,7000,Department of Homeland Security,"HOMELAND SECURITY, DEPARTMENT OF (7000)",DHS,6,$9.9 B,$4.7 B,$1.9 B,$1.9 B,$1.2 B,36.96%,36.04%,38.25%,39.51%,38.21%,35.5%,60.00%,64.58%,17.69%,15.57%,17.17%,17.66%,18.01%,17.9%,10.00%,10.06%,8.41%,6.80%,6.89%,7.81%,7.25%,5.0%,10.00%,14.5%,6.12%,5.77%,5.29%,6.61%,7.42%,3.0%,10.00%,20.0%,4.34%,4.09%,5.50%,5.20%,4.69%,3.0%,10.00%,15.64%,62.39%,"1) In FY23, DHS awarded $7.0 B in SBA set-asides to small business concerns. 2) Capped at 200%. 3) Includes double-credit for local-area set-aside.",$1.5 B,$425.5 M,$429.3 M,$161.7 M,$117.3 M,45.40%,46.30%,45.40%,48.90%,50.0%,43.0%,60.00%,69.77%,9.90%,11.50%,10.90%,12.70%,14.13%,5.0%,10.00%,20.0%,11.00%,13.10%,13.50%,15.30%,14.0%,5.0%,10.00%,20.0%,4.40%,4.40%,4.60%,5.70%,5.32%,3.0%,10.00%,17.74%,2.10%,2.10%,2.30%,2.50%,3.86%,3.0%,10.00%,12.86%,28.08%,1) Capped at 200%.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,22.0,20.0%,1.1,1.1,1.1,1.1,1.1,5.5,110.0%,11.0%,"4,507","4,793",6.35%,"1,927","2,144",11.26%,499,536,7.41%,967,"1,057",9.31%,362,374,3.31%,121.47%,A+, 
2023,4700,General Services Administration,GENERAL SERVICES ADMINISTRATION (4700),GSA,7,$3.4 B,$1.4 B,$655.6 M,$808.0 M,$380.3 M,42.69%,49.43%,46.89%,47.61%,50.43%,33.0%,60.00%,91.69%,19.31%,22.18%,20.57%,22.25%,20.34%,21.9%,10.00%,9.29%,10.00%,10.41%,8.95%,9.91%,9.8%,5.0%,10.00%,19.6%,5.06%,8.91%,8.19%,9.34%,12.08%,3.0%,10.00%,20.0%,3.90%,4.39%,5.03%,6.85%,5.69%,3.0%,10.00%,18.95%,79.77%,"1) In FY23, GSA awarded $1.5 B in SBA set-asides to small business concerns. 2) Capped at 200%. 3) Includes double-credit for local-area set-aside. 4) Includes $64k in GSA CPP small-business spending.",$9.4 B,$2.0 B,$1.9 B,$1.1 B,$575.6 M,22.10%,29.30%,25.80%,30.70%,30.32%,21.0%,60.00%,86.61%,4.00%,4.40%,4.80%,6.20%,6.1%,5.0%,10.00%,12.19%,4.50%,4.80%,5.30%,6.40%,6.33%,5.0%,10.00%,12.66%,1.60%,2.90%,2.60%,3.60%,3.49%,3.0%,10.00%,11.65%,0.70%,1.20%,1.20%,1.70%,1.85%,3.0%,10.00%,6.18%,25.86%,1) Capped at 200%.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,22.0,20.0%,0.7,0.7,0.7,0.7,0.7,3.5,70.0%,7.0%,"4,309","2,698",-37.39%,"2,162","1,168",-45.98%,402,288,-28.36%,"1,020",665,-34.8%,354,242,-31.64%,132.63%,A+, 
2023,1200,Department of Agriculture,"AGRICULTURE, DEPARTMENT OF (1200)",USDA,8,$8.0 B,$3.4 B,$1.4 B,$629.3 M,$778.8 M,57.96%,47.89%,52.97%,64.80%,69.37%,55.0%,60.00%,75.68%,21.62%,19.67%,21.81%,25.79%,28.92%,22.4%,10.00%,12.91%,10.36%,10.02%,9.05%,10.02%,11.84%,5.0%,10.00%,20.0%,3.58%,2.41%,3.38%,5.36%,5.43%,3.0%,10.00%,18.1%,7.13%,7.32%,6.35%,7.10%,6.72%,3.0%,10.00%,20.0%,73.35%,"1) In FY23, USDA awarded $5.0 B in SBA set-asides to small business concerns. 2) Capped at 200%. 3) Includes double-credit for local-area set-aside. 4) Includes $3.5mil in GSA CPP small-business spending.",$320.4 M,$34.1 M,$35.0 M,$6.0 M,$7.6 M,21.90%,27.10%,31.30%,39.70%,32.45%,21.0%,60.00%,92.72%,2.20%,2.40%,1.50%,2.30%,3.54%,5.0%,10.00%,7.08%,2.70%,4.60%,1.90%,5.00%,3.45%,5.0%,10.00%,6.91%,0.10%,0.20%,0.30%,0.50%,0.61%,3.0%,10.00%,2.03%,0.30%,0.60%,0.20%,0.70%,0.77%,3.0%,10.00%,2.57%,22.26%,1) Capped at 200%.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,21.0,19.09%,1.1,1.1,1.1,1.1,0.9,5.3,106.0%,10.6%,"7,443","7,719",3.71%,"3,029","3,268",7.89%,494,525,6.28%,"1,617","1,681",3.96%,468,445,-4.91%,125.3%,A+, 
2023,1500,Department of Justice,"JUSTICE, DEPARTMENT OF (1500)",DOJ,9,$3.6 B,$1.9 B,$864.6 M,$915.7 M,$328.2 M,31.38%,32.71%,32.68%,35.23%,37.56%,33.0%,60.00%,68.29%,13.24%,14.76%,15.75%,16.54%,19.48%,15.9%,10.00%,12.25%,6.35%,5.94%,6.47%,6.63%,8.99%,5.0%,10.00%,17.97%,5.17%,6.15%,7.05%,9.15%,9.52%,3.0%,10.00%,20.0%,1.70%,2.19%,2.01%,3.01%,3.41%,3.0%,10.00%,11.37%,64.94%,"1) In FY23, DOJ awarded $2.4 B in SBA set-asides to small business concerns. 2) Capped at 200%. 3) Includes double-credit for local-area set-aside. 4) Includes $3.2mil in GSA CPP small-business spending.",$522.6 M,$72.0 M,$82.0 M,$16.3 M,$27.6 M,41.40%,37.40%,31.60%,34.40%,40.73%,38.0%,60.00%,64.3%,8.50%,4.60%,5.90%,5.30%,6.39%,5.0%,10.00%,12.78%,10.40%,7.10%,7.10%,9.10%,5.61%,5.0%,10.00%,11.21%,1.20%,1.40%,1.50%,1.60%,1.27%,3.0%,10.00%,4.23%,3.00%,2.90%,2.20%,2.30%,2.15%,3.0%,10.00%,7.17%,19.94%,1) Capped at 200%.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,22.0,20.0%,1.1,1.1,1.1,1.1,0.8,5.2,104.0%,10.4%,"4,257","4,400",3.36%,"1,465","1,613",10.1%,330,349,5.76%,959,979,2.09%,211,200,-5.21%,115.28%,A, 
2023,1400,Department of the Interior,"INTERIOR, DEPARTMENT OF THE (1400)",DOI,10,$3.5 B,$2.1 B,$673.5 M,$293.5 M,$480.5 M,57.06%,60.11%,61.02%,63.33%,60.13%,49.37%,60.00%,73.08%,29.51%,31.93%,33.84%,38.87%,36.42%,30.5%,10.00%,11.94%,13.62%,14.01%,14.11%,13.76%,11.62%,5.0%,10.00%,20.0%,4.36%,5.63%,5.95%,5.62%,5.06%,3.0%,10.00%,16.87%,6.04%,7.33%,8.64%,10.19%,8.29%,3.0%,10.00%,20.0%,70.94%,"1) In FY23, DOI awarded $2.1 B in SBA set-asides to small business concerns. 2) Capped at 200%. 3) Includes double-credit for local-area set-aside.",$200.4 M,$24.7 M,$39.0 M,$10.1 M,$44.9 M,41.60%,47.00%,48.30%,41.60%,45.87%,44.0%,60.00%,62.55%,6.50%,9.70%,10.40%,6.70%,8.93%,5.0%,10.00%,17.86%,6.20%,6.30%,7.40%,6.10%,5.66%,5.0%,10.00%,11.33%,2.60%,2.80%,4.80%,1.60%,2.32%,3.0%,10.00%,7.74%,0.90%,0.90%,4.10%,13.10%,10.27%,3.0%,10.00%,20.0%,23.9%,1) Capped at 200%.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,22.0,20.0%,0.9,1.1,0.9,1.1,0.8,4.8,96.0%,9.6%,"6,634","6,475",-2.4%,"2,846","2,850",0.14%,408,431,5.64%,"1,529","1,513",-1.05%,384,360,-6.25%,124.44%,A+, 
