SBA FRANCHISE IDENTIFIER CODE|BRAND|MEETS FTC DEFINITION OF A FRANCHISE?|IS AN  ADDENDUM NEEDED?|SBA ADDENDUM - Form 2462|SBA NEGOTIATED ADDENDUM|SBA FRANCHISE IDENTIFIER CODE Start Date|ZXA4
S3606|#The Cheat Meal Headquarters by Brothers Bruno Pizza|Y|Y|Y|N|10/23/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Collateral Assignment of Lease and Lease Addendum may not be executed.
S2860|(ART) Art Recovery Technologies|Y|Y|Y|N|4/4/2018|
S0001|1-800 Dryclean|Y|Y|Y|N|10/1/2017|
S2022|1-800 Packouts|Y|Y|Y|N|10/1/2017|
S0002|1-800 Water Damage|Y|Y|Y|N|10/1/2017|
S5343|1-800-BOARDUP – Local Service Partner Agreement|Y|Y|Y|N|4/28/2020|
S0003|1-800-DRYCARPET|Y|Y|Y|N|10/1/2017|
S0004|1-800-Flowers.com|Y|Y||Y|10/1/2017|
S0005|1-800-GOT-JUNK?|Y|Y||Y|10/1/2017|
S3493|1-800-JUNKPRO|Y|Y|Y|N|9/10/2018|Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10. 
S0006|1-800-PACK-RAT|Y|Y|Y|N|10/1/2017|
S3651|1-800-PLUMBER|Y|Y|Y|N|11/6/2018|
S0007|1-800-Radiator & A/C|Y|Y||Y|10/1/2017|
S5236|1-800-STRIPER|Y|Y|Y|N|4/18/2020|
S6116|1-Tom-Plumber|Y|Y|Y|N|11/23/2020|
|1.800.VENDING|N|N|||5/22/2020|
|1.800.Vending Purchase Agreement|N|N|||6/11/2019|
S0008|10/MINUTE MANICURE/10 MINUTE MANICURE|Y|Y|Y|N|10/1/2017|
S3099|100% Chiropractic|Y|Y|Y|N|5/15/2018|1. When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Addendum to Lease may not be executed.  2. Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with the SOP 50 10.  3. If Applicant also operates under a management agreement with a third party, Lender/CDC must review the management agreement in accordance with SOP 50 10 to determine if there is affiliation between the Applicant and the management company. The Applicant is not eligible if the management company is, or is affiliated with, the franchisor.
S0009|1000 Degrees Pizzeria|Y|Y|Y|N|10/1/2017|
S0010|101 Mobility|Y|Y||Y|10/1/2017|
S0011|123 FIT|Y|Y|Y|N|10/1/2017|
S0012|16 Handles|Y|Y|Y|N|10/1/2017|
S2956|18/8 Fine Men's Salons|Y|Y|Y|N|4/16/2018|1. When the real estate where the franchise business is located will secure the SBA‐guaranteed loan, the Collateral Assignment of Lease and the Franchisor's Addendum to Lease may not be executed. 2. Lender/CDC must obtain an affidavit signed by the Applicant stating that the business is open to both men and women and document their file with evidence that the facility is open to both men and women, such as appropriate bath/locker rooms, or documented membership demographics. Contact franchise@sba.gov for a template of the affidavit. 3. The management agreements included in this brand’s FDD may not be used in connection with any SBA‐guaranteed loan to a franchisee.
S4574|1Heart Caregiver Services|Y|Y|Y|N|10/1/2019|
|2014 Moroccanoil Co-Distribution Agreement (Skincare Line of Products)|N|N|||4/2/2019|
S3036|24-7 Nursing Care|Y|Y|Y|N|5/1/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Franchise Premises Lease Agreement Rider document may not be executed.
S0014|24SEVEN|Y|Y|Y|N|10/1/2017|
S0015|2Good2B Bakery|Y|Y|Y|N|10/1/2017|
S6586|2nd Family|Y|Y|Y|N|5/11/2021|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Conditional Assignment of Lease and Consent and Agreement of Landlord may not be executed.
S3320|2nd Shift Sewer & Plumbing|Y|Y|Y|N|7/24/2018|
S0016|3 Degrees (fka SuiteSweat)|Y|Y|Y|N|10/1/2017|
S3342|3 Natives|Y|Y|Y|N|7/31/2018|1. When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Addendum to Lease and Conditional Assignment of Lease may not be executed.  2. Applicant franchisees are only eligible if operating under the Franchise Agreement for this system and not the Area Developer Agreement.
S0017|3 TOMATOES & A MOZZARELLA|Y|Y|Y|N|10/1/2017|
S6325|3% Realty, Simply Full Service Realty|Y|Y|Y|N|2/12/2021|
S2750|30 Minute Hit|Y|Y|Y|N|3/9/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Conditional Assignment and Assumption of Lease, Agreement to Lease and Lease Agreement documents may not be executed.
S0018|32 A YOGURT BAR/32 DEGREES YOGURT BAR|Y|Y|Y|N|10/1/2017|
S2095|360 Painting|Y|Y|Y|N|10/1/2017|
S5744|360 Tour Designs|Y|Y|Y|N|7/22/2020|Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10.
S3104|360clean|Y|Y|Y|N|5/15/2018|
S4147|4Ever Young|Y|Y|Y|N|4/30/2019|1. If the Applicant also operates under a management agreement with a third party, Lender/CDC must review the management agreement in accordance with SOP 50 10 to determine if there is affiliation between the Applicant and the management company.  The Applicant is not eligible if the management company is, or is affiliated with, the franchisor. 2. When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Collateral Assignment of Lease may not be executed. 
S0019|5 & Diner|Y|Y|Y|N|10/1/2017|
S0020|5 DAY KITCHENS|Y|Y|Y|N|10/1/2017|
S4720|55 Fitness|Y|Y|Y|N|11/26/2019|
S0021|5aSec|Y|Y||Y|10/1/2017|
S6844|7 BREW|Y|Y|Y|N|9/16/2021|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Rider may not be executed.
S3806|7 Leaves |Y|Y|Y|N|12/19/2018|Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10. 
S5037|7-Eleven, Inc - Individual Store Franchise Agreement |Y|N| | |4/3/2020|This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S5038|7-Eleven, Inc. - Business Conversion Franchise Agreement|Y|N| | |4/3/2020|This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S5696|7Spice Burgers and Wraps|Y|Y|Y|N|7/13/2020|
S5373|800 Degrees Pizza - License Agreement|Y|Y|Y|N|5/2/2020|
S4392|810 Billiards & Bowling|Y|Y|Y|N|7/16/2019|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Site Selection Addendum may not be executed.
S0023|911 Driving School|Y|Y||Y|10/1/2017|
S2471|911 Restoration|Y|Y|Y|N|1/30/2018|1.  When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Collateral Assignment of Lease may not be executed.  2. Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10. 
S2884|986 Pharmacy|Y|Y|Y|N|4/10/2018|
S0024|9Round|Y|Y||Y|10/1/2017|
S2332|@ the LB|Y|Y|Y|N|1/1/2018|
S3931|A All Animal Control|Y|Y|Y|N|3/5/2019|
S4362|A Better Solution In Home Care/Caring Solutions in Home Care|Y|Y|Y|N|7/8/2019|
S6067|A Better Weigh|Y|Y|Y|N|10/28/2020|
S0027|A Buyer's Choice Home Inspections|Y|Y|Y|N|10/1/2017|
S5956|A Grade Ahead Academy|Y|Y|Y|N|9/18/2020|
S3456|A Mother's Touch Movers|Y|Y|Y|N|9/5/2018|When the real estate where the franchise business is located will secure the SBA‐guaranteed loan, the Collateral Assignment of Lease may not be executed.
